Price,Close,High,Low,Open,Volume,PD,P,L,avgp,avgl,RS,RSI,ema12,ema26,MACD,SIG,SMA,EMA,MB,STD,UB,LB,O1,O2,O3,TR,ATR,DM+,DM-,sDM+,sDM-,sTR,+DI,-DI,DX,ADX,Strat,Ticker,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,TSLA,TSLA,TSLA,TSLA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-12,,,,,,12.519989013671875,12.519989013671875,0.0,1.8496265411376953,2.1309566497802734,0.8679794313233052,46.46621995770131,204.86369291607662,207.95104900007505,-3.0873560839984293,-2.3899234376701637,202.16069984436035,206.92669623627128,202.16069984436035,6.618215225549922,215.3971302954602,188.92426939326052,4.5200042724609375,13.0,8.479995727539062,13.0,6.167203278985377,10.992637778127346,0.0,1.583243529369317,0.6733607902402463,5.940576593147648,26.651344436759906,11.334939962173978,40.320880857238556,86.94361089102661,-2,AAPL,210.7899932861328,211.27000427246094,206.75,210.97000122070312,63775800.0,,,,,,,,,,,,,,,
2025-05-13,,,,,,2.1399993896484375,2.1399993896484375,0.0,1.8818901909722223,1.8941836886935763,0.9935098702971179,49.83721852097189,206.10466210987732,208.31985964271996,-2.2151975328426374,-2.3549782567046584,203.35728793674045,207.49843875431986,203.35728793674045,7.156261855233557,217.66981164720755,189.04476422627334,4.399993896484375,2.6100006103515625,1.7899932861328125,4.399993896484375,5.946302106172752,2.1299896240234375,0.0,1.6561430086565332,0.5835793515415468,5.735165566925879,28.876986886086474,10.175457791610935,47.888241693498536,81.7362283313562,1,AAPL,212.92999267578125,213.39999389648438,209.0,210.42999267578125,51909300.0,,,,,,,,,,,,,,,
2025-05-14,,,,,,-0.5999908447265625,0.0,0.5999908447265625,1.693701171875,1.764764404296875,0.9597321702858339,48.97261905670781,207.06240668236615,208.61690721222624,-1.5545005298600927,-2.194882711335745,204.2545593261719,207.9585876187708,204.2545593261719,7.319345030591985,218.89324938735587,189.6158692649879,3.3600006103515625,1.010009765625,2.3499908447265625,3.3600006103515625,5.65893527330373,0.540008544921875,0.0,1.507325080158579,0.5057687713360073,5.418476906049303,27.818243139059412,9.33415016997408,49.75209218780255,77.47167684554906,0,AAPL,212.3300018310547,213.94000244140625,210.5800018310547,212.42999267578125,49325800.0,,,,,,,,,,,,,,,
2025-05-15,,,,,,-0.8800048828125,0.0,0.8800048828125,1.5397283380681819,1.6843317205255681,0.9141479194468416,47.75743348565329,207.737420569424,208.82676571119038,-1.0893451417663869,-1.9737751974218736,204.90869001908735,208.29110279300616,204.90869001908735,7.274770587910068,219.45823119490748,190.3591488432672,3.420013427734375,0.6300048828125,2.790008544921875,3.420013427734375,5.435043088746795,0.0,1.040008544921875,1.3063484028041017,0.5770007411474563,5.152015108940646,25.35606699866049,11.199515703013898,38.72609940642026,72.30559985366521,0,AAPL,211.4499969482422,212.9600067138672,209.5399932861328,210.9499969482422,45029500.0,,,,,,,,,,,,,,,
2025-05-16,,,,,,-0.19000244140625,0.0,0.19000244140625,1.4114176432291667,1.5598042805989583,0.9048684252851912,47.50293580774309,208.27935502133352,209.0070048812382,-0.7276498599046874,-1.7245501299184365,205.4379653930664,208.57385438479946,205.4379653930664,7.174451836553604,219.7868690661736,191.0890617199592,2.8000030517578125,1.1200103759765625,1.67999267578125,2.8000030517578125,5.195493994475069,0.0,0.0,1.1321686157635549,0.5000673089944621,4.838413501316269,23.399583674598162,10.335357010276633,38.726099406420275,67.8283331273659,0,AAPL,211.25999450683594,212.57000732421875,209.77000427246094,212.36000061035156,54737900.0,,,,,,,,,,,,,,,
2025-05-19,,,,,,-2.4799957275390625,0.0,2.4799957275390625,1.3028470552884615,1.6305882380558894,0.7990043254340616,44.41369673979404,208.35637713794327,208.99018961442772,-0.6338124764844508,-1.5064025992316394,205.6950448843149,208.5934871842754,205.6950448843149,6.931271946868246,219.5575887780514,191.8325009905784,5.220001220703125,1.779998779296875,7.0,7.0,5.345869494935481,0.0,5.510009765625,0.9812128003284143,1.1680596365452005,5.1266250344741,19.13954685061279,22.784183135894637,8.693492412184757,59.94368769867508,-1,AAPL,208.77999877929688,209.47999572753906,204.25999450683594,207.91000366210938,45310800.0,,,,,,,,,,,,,,,
2025-05-02,,,,,,23.02001953125,23.02001953125,0.0,11.510009765625,0.0,115100097656.25,99.99999999913119,1137.0115121694712,1135.1751573350696,1.836354834401618,0.3672709668803236,1144.97998046875,1135.662353515625,1144.97998046875,16.277611913593645,1177.5352042959373,1112.4247566415627,26.1199951171875,,,26.1199951171875,26.1199951171875,0.0,0.0,0.0,0.0,26.1199951171875,0.0,0.0,,,0,NFLX,,,,,,1156.489990234375,1159.43994140625,1133.3199462890625,1136.6600341796875,3774300.0,,,,,,,,,,
2025-05-05,,,,,,-22.429931640625,0.0,22.429931640625,7.67333984375,7.476643880208333,1.0263080556718391,50.649162292924814,1136.557442388591,1135.092557428305,1.4648849602858718,0.5867937655614333,1141.3400065104167,1135.509753999256,1141.3400065104167,13.123587773807046,1167.5871820580307,1115.0928309628027,37.010009765625,12.469970703125,49.47998046875,49.47998046875,37.79998779296875,0.0,26.3099365234375,0.0,3.5079915364583334,29.234659830729168,0.0,11.999426560014252,100.0,100.0,0,NFLX,,,,,,1134.06005859375,1144.02001953125,1107.010009765625,1114.800048828125,5662300.0,,,,,,,,,,
2025-05-06,,,,,,3.6298828125,3.6298828125,0.0,6.6624755859375,5.60748291015625,1.1881401499684712,54.29908819988478,1136.7316730066923,1135.2849562414863,1.4467167652060198,0.7587783654903506,1140.427490234375,1135.7173908951602,1140.427490234375,10.869672542785073,1162.1668353199452,1118.6881451488048,21.260009765625,13.5999755859375,7.6600341796875,21.260009765625,32.286661783854164,3.6400146484375,0.0,0.48533528645833335,3.0402593315972224,28.171373155381946,1.722795987903818,10.792016827963538,72.46789043908818,96.3290520585451,0,NFLX,,,,,,1137.68994140625,1147.6600341796875,1126.4000244140625,1129.4300537109375,3256700.0,,,,,,,,,,
2025-05-07,,,,,,17.7200927734375,17.7200927734375,0.0,8.8739990234375,4.485986328125,1.9781600687465168,66.42222120650177,1139.605267033307,1136.7757027554271,2.8295642778798538,1.1729355479682515,1143.4239990234375,1137.5928807317819,1143.4239990234375,11.55455150601596,1166.5331020354695,1120.3148960114056,26.0,26.31005859375,0.31005859375,26.31005859375,30.792510986328125,16.3399658203125,0.0,2.5992860243055556,2.634891420717593,27.92319788049769,9.308697504596946,9.436209391181057,0.6802481724400095,83.57587820706442,0,NFLX,,,,,,1155.4100341796875,1164.0,1138.0,1139.1800537109375,4349700.0,,,,,,,,,,
2025-05-08,,,,,,-10.97998046875,0.0,10.97998046875,7.394999186197917,5.568318684895833,1.3280488428444628,57.0455747492747,1140.3475419067886,1137.3426917150946,3.004850191694004,1.539318476713402,1143.5916748046875,1138.2440400631301,1143.5916748046875,10.342863211405598,1164.2774012274988,1122.9059483818762,23.090087890625,6.8800048828125,16.2100830078125,23.090087890625,29.2520263671875,0.0,0.0,2.2527145543981484,2.283572564621914,27.27878321518133,8.258119640558073,8.3712405594068,0.6802481724400087,72.52312753578117,0,NFLX,,,,,,1144.4300537109375,1162.2900390625,1139.199951171875,1161.6199951171875,3760900.0,,,,,,,,,,
2025-05-09,,,,,,-4.2100830078125,0.0,4.2100830078125,6.338570731026786,5.374285016741071,1.1794258605868484,54.11635614295535,1140.3279155677633,1137.5558234919858,2.7720920757774365,1.7858731965262091,1143.1100027901787,1138.4322239336057,1143.1100027901787,9.527315379920365,1162.1646335500193,1124.055372030338,17.780029296875,6.5699462890625,11.2100830078125,17.780029296875,27.34002685546875,0.0,5.97998046875,1.9523526138117286,2.7764269518389924,26.012282692740488,7.505502830616982,10.673522906983624,17.42678690318406,65.17694878476823,0,NFLX,,,,,,1140.219970703125,1151.0,1133.219970703125,1147.0999755859375,2569600.0,,,,,,,,,,
2025-05-12,,,,,,-30.219970703125,0.0,30.219970703125,5.5462493896484375,8.479995727539062,0.6540391726344164,39.541939722788854,1135.662082403492,1135.5146513814684,0.1474310220235111,1.4581847616256696,1138.9712524414062,1135.724393082786,1138.9712524414062,14.657307681351961,1168.2858678041102,1109.6566370787023,27.0699462890625,10.219970703125,37.2899169921875,37.2899169921875,28.761439732142858,0.0,30.2899169921875,1.692038931970165,6.444892290552127,27.51596726600009,6.149298389596941,23.42237228387647,58.41088278375134,64.27480665129931,2,NFLX,,,,,,1110.0,1130.0,1102.9300537109375,1124.260009765625,6479100.0,,,,,,,,,,
2025-05-13,,,,,,28.43994140625,28.43994140625,0.0,8.08999294704861,7.537773980034722,1.0732602182513329,51.76678782543571,1136.0894453269932,1135.7313395314522,0.35810579554095057,1.2381689684087258,1138.9122178819443,1135.9830167326397,1138.9122178819443,13.711799685690037,1166.3358172533244,1111.4886185105643,41.5799560546875,37.8800048828125,3.699951171875,41.5799560546875,30.363754272460938,17.8800048828125,0.0,3.8504343920824766,5.58557331847851,29.39116577115841,13.100652155352455,19.004259177632353,18.38848567762432,58.15663052147598,0,NFLX,,,,,,1138.43994140625,1147.8800048828125,1106.300048828125,1114.4599609375,3997900.0,,,,,,,,,,
2025-05-14,,,,,,12.550048828125,12.550048828125,0.0,8.53599853515625,6.78399658203125,1.2582551349804179,55.71802386231832,1138.381836851206,1136.861609953891,1.520226897314842,1.294580554189949,1140.1199951171875,1137.4122523042336,1140.1199951171875,13.479997244729931,1167.0799896066474,1113.1600006277276,24.5,14.4600830078125,10.0399169921875,24.5,29.71222601996528,5.02001953125,0.0,4.006379077304813,4.840830209348042,28.739010335003954,13.940560341512755,16.84410894084247,9.43180052609477,51.65998652209183,0,NFLX,,,,,,1150.989990234375,1152.9000244140625,1128.4000244140625,1129.5999755859375,3910100.0,,,,,,,,,,
